train,test
1.0000041723251343,1.000003457069397
0.9999995827674866,0.9999852180480957
0.9999954104423523,0.999967098236084
0.9999909400939941,0.9999491572380066
0.9999861121177673,0.9999310970306396
0.9999818205833435,0.9999131560325623
0.9999774694442749,0.9998951554298401
0.9999725818634033,0.9998774528503418
0.9999688267707825,0.9998596906661987
0.9999648928642273,0.9998422861099243
0.9999604821205139,0.9998248219490051
0.9999567270278931,0.999807596206665
0.9999523162841797,0.9997907876968384
0.9999488592147827,0.9997739195823669
0.9999459385871887,0.999757707118988
0.9999415874481201,0.9997414946556091
0.9999381303787231,0.9997256994247437
0.9999353885650635,0.9997103810310364
0.9999322295188904,0.9996953010559082
0.9999288320541382,0.9996808171272278
0.999925971031189,0.9996666312217712
0.9999226331710815,0.9996529221534729
0.9999198913574219,0.9996397495269775
0.9999178051948547,0.9996269941329956
0.9999156594276428,0.9996148347854614
0.99991375207901,0.999603271484375
0.9999117255210876,0.9995923638343811
0.9999092817306519,0.9995816349983215
0.9999074935913086,0.9995718002319336
0.9999058842658997,0.999562680721283
0.9999033212661743,0.9995537400245667
0.9999026656150818,0.9995454549789429
0.9999006986618042,0.9995377659797668
0.9998995661735535,0.999530553817749
0.9998990297317505,0.9995239973068237
0.9998977184295654,0.9995176792144775
0.9998968243598938,0.9995120167732239
0.9998956322669983,0.9995068311691284
0.9998945593833923,0.9995020031929016
0.999893844127655,0.999497652053833
0.9998934268951416,0.9994936585426331
0.9998921155929565,0.9994900226593018
0.9998915791511536,0.9994866847991943
0.9998918175697327,0.9994838833808899
0.9998906254768372,0.9994811415672302
0.9998903870582581,0.9994786977767944
0.9998902678489685,0.9994765520095825
0.9998894333839417,0.9994746446609497
0.999889612197876,0.9994730353355408
0.9998891949653625,0.9994714856147766
0.999889075756073,0.9994701743125916
0.9998891949653625,0.999468982219696
0.9998888373374939,0.9994679689407349
0.9998885989189148,0.9994670152664185
0.99988853931427,0.9994663596153259
0.9998880624771118,0.9994655251502991
0.999888002872467,0.9994649887084961
0.999888002872467,0.9994645118713379
0.9998879432678223,0.9994639158248901
0.9998878836631775,0.9994634985923767
0.999888002872467,0.9994632005691528
0.9998878240585327,0.9994627833366394
0.9998877048492432,0.9994626045227051
0.9998878240585327,0.9994623064994812
0.9998875856399536,0.9994621872901917
0.9998874068260193,0.9994618892669678
0.9998875260353088,0.9994616508483887
0.9998875856399536,0.9994616508483887
0.9998875260353088,0.9994615912437439
0.9998875260353088,0.9994614720344543
0.9998875856399536,0.99946129322052
0.9998875260353088,0.99946129322052
0.9998874068260193,0.9994611740112305
0.9998873472213745,0.9994610548019409
0.9998874068260193,0.9994609951972961
0.9998873472213745,0.9994609951972961
0.9998873472213745,0.9994609951972961
0.9998872876167297,0.9994609951972961
0.9998872876167297,0.9994610548019409
0.9998872876167297,0.9994609951972961
0.9998872876167297,0.9994609951972961
0.9998873472213745,0.9994608759880066
0.9998872876167297,0.9994608759880066
0.9998872876167297,0.9994608759880066
0.9998872876167297,0.999460756778717
0.9998872876167297,0.999460756778717
0.9998872876167297,0.999460756778717
0.999887228012085,0.9994606375694275
0.9998871088027954,0.9994606375694275
0.9998871088027954,0.999460756778717
0.9998871088027954,0.999460756778717
0.9998871088027954,0.9994606375694275
0.9998871088027954,0.9994605779647827
0.9998871088027954,0.9994605779647827
0.9998870491981506,0.9994605779647827
0.9998870491981506,0.9994605779647827
0.9998870491981506,0.9994605779647827
0.9998870491981506,0.9994605779647827
0.9998870491981506,0.9994605779647827
0.9998870491981506,0.9994605779647827
